Prodavnica,Ime,Brend,Procesor,RAM_Memorija,Kapacitet,Cena,Klub/Smart/Happy cena
Anhoch,"Notebook Acer Nitro 5 Intel Core 7 240H/16GB/1TB/RTX 4050 6GB/15.6"" FHD IPS 165Hz Slim/Thunderbolt",Acer,CORE 7,16 GB,1 TB SSD,"65.980,00 ???.",
Anhoch,"Notebook Dell Vostro 3530 i7-1355U 16GB/512GB/Intel Iris XE/15.6"" FHD 120Hz/BacklitKB/4Cell/Ubuntu",Dell,I7 1355U,16 GB,512 GB SSD,"36.980,00 ???.",
Anhoch,"Notebook Lenovo LOQ Gaming Ryzen5 7235HS/24GB/512GB/RTX3050 6GB/15.6"" FHD 144Hz/Backlit Kb/DOS/Grey",Lenovo,RYZEN5 7235HS,24 GB,512 GB SSD,"43.980,00 ???.",
Anhoch,"Notebook Lenovo LOQ Gaming i5-12450HX/16GB/512GB/RTX3050 6GB/15.6"" FHD IPS 144Hz/DOS",Lenovo,I5 12450HX,16 GB,512 GB SSD,"43.480,00 ???.",
Anhoch,"Notebook Acer Nitro 5 i9-12900H/16GB/512GB SSD/RTX4060 8GB/15.6"" FHD 165Hz/RGB Kb/DOS",Acer,I9 12900H,16 GB,512 GB SSD,"79.980,00 ???.","73.480,00 ???."
Anhoch,"Notebook Dell Inspiron 3525 Ryzen7 5825U/16GB/512GB SSD/Vega8/15.6"" FHD 120Hz/Ubu",Dell,RYZEN7 5825U,16 GB,512 GB SSD,"28.980,00 ???.","27.980,00 ???."
Anhoch,"Notebook Dell Vostro 3530 i3-1305U/8GB/256GB/Intel Iris XE/15.6"" FHD 120Hz/BacklitKB/3Cell/Ubuntu",Dell,I3 1305U,8 GB,256 GB SSD,"20.980,00 ???.","19.980,00 ???."
Anhoch,"Notebook Dell Vostro 3530 i5-1334U 16GB/512GB/IntelUHD/15.6""FHD120Hz/BLKB/3Cell",Dell,I5 1334U,16 GB,512 GB SSD,"25.980,00 ???.",
Anhoch,"Notebook Lenovo IdeaPad Slim 3 Ryzen3 7320U/8GB/512GB SSD/15.6"" FHD/DOS",Lenovo,RYZEN3 7320U,8 GB,512 GB SSD,"17.980,00 ???.",
Anhoch,"Notebook Dell Inspiron 3535 Ryzen5 7520U 8GB/512GB/Radeon 610M/15.6"" FHD120Hz/BacklitKB/3Cell/Linux",Dell,RYZEN5 7520U,8 GB,512 GB SSD,"21.480,00 ???.",
Anhoch,"Notebook Dell Inspiron 3535 Ryzen5 7530U 16GB/512GB/Radeon 610M/15.6"" FHD120Hz/BacklitKB/3Cell/Linux",Dell,RYZEN5 7530U,16 GB,512 GB SSD,"25.480,00 ???.",
Anhoch,"Notebook Dell Inspiron 3535 Ryzen7 7730U 16GB/1TB/Radeon 610M15.6"" FHD120Hz/BacklitKB/3Cell/Linux",Dell,RYZEN7 7730U,16 GB,1 TB SSD,"30.780,00 ???.",
Anhoch,"Notebook Acer Nitro Gaming ANV15-51 i5-13420H/16GB DDR5/512GB/RTX2050/15.6"" IPS 165Hz",Acer,I5 13420H,16 GB,512 GB SSD,"37.480,00 ???.","35.980,00 ???."
Anhoch,"Notebook Acer Extensa EX215-55 i5-1235U/16GB/512GB/15.6"" FHD/IrisXe/GigaLAN",Acer,I5 1235U,16 GB,512 GB SSD,"22.980,00 ???.",
Anhoch,"Notebook Dell Vostro 3520 i7-1255U 8GB/512GB/Intel Iris XE/15.6"" FHD 120Hz/BacklitKB/4Cell/Ubuntu",Dell,I7 1255U,8 GB,512 GB SSD,"32.980,00 ???.",
Anhoch,"Notebook Lenovo LOQ Gaming i7-13650HX/16GB/1TB/RTX 4060 8GB/15.6"" FullHD 144Hz/Backlit Kb/DOS/Grey",Lenovo,I7 13650HX,16 GB,1 TB SSD,"67.980,00 ???.",
Anhoch,"Notebook HP 14 Ryzen3 7320U 8GB/512GB SSD/14"" FHD IPS AG 250nits/DOS/Jet Black",Hp,RYZEN3 7320U,8 GB,512 GB SSD,"18.980,00 ???.",
Anhoch,"Notebook HP 15 Ryzen3 7320U/8GB/512GB/15.6"" FullHD IPS/DOS/Warm Gold",Hp,RYZEN3 7320U,8 GB,512 GB SSD,"17.980,00 ???.",
Anhoch,"Notebook HP 255 G10 Ryzen5 7530U 16GB/512GB/15.6"" FHD/BacklitKb/Silver",Hp,RYZEN5 7530U,16 GB,512 GB SSD,"24.480,00 ???.","23.480,00 ???."
Anhoch,"Notebook Asus Zenbook 14 Q415 Ultra 5 125H/8GB/512GB SSD/14"" WUXGA OLED Touch/Backlit KB/Win11/Gray",Asus,ULTRA 5 125H,8 GB,512 GB SSD,"44.980,00 ???.","41.980,00 ???."
Anhoch,"Notebook Lenovo ThinkBook 16 G7 Ultra 7 155H/16GB/1TB SSD/16"" WUXGA IPS/Backlit Kb/DOS",Lenovo,ULTRA 7 155H,16 GB,1 TB SSD,"54.980,00 ???.",
Anhoch,"Notebook Lenovo ThinkBook 15 G4 Ryzen7 5825U/16GB/1TB/15.6"" FHD/Backlit KB/Dos",Lenovo,RYZEN7 5825U,16 GB,1 TB SSD,"39.980,00 ???.",
Anhoch,"Notebook Lenovo IdeaPad Slim 3 i7-13620H 16GB/1TB SSD/15.3"" WUXGA IPS/No OS",Lenovo,I7 13620H,16 GB,1 TB SSD,"34.980,00 ???.",
